Longitude[deg], Latitude[deg], Radiance
24.715099 7.486700 0.029212
24.723200 7.486400 0.044720
24.732500 7.486000 0.039551
24.740700 7.485600 0.044720
24.748699 7.485300 0.039551
24.756800 7.484900 0.044720
24.764900 7.484600 0.039551
24.774199 7.484200 0.044720
24.782400 7.483800 0.029212
24.790499 7.483500 0.049889
24.799799 7.483100 0.039551
24.807999 7.482700 0.034381
24.816099 7.482400 0.039551
24.825399 7.482000 0.039551
24.833599 7.481600 0.039551
24.841700 7.481300 0.044720
24.851000 7.480900 0.044720
24.859200 7.480500 0.039551
24.867300 7.480200 0.039551
24.876699 7.479800 0.039551
24.884800 7.479400 0.034381
24.893000 7.479100 0.034381
24.902300 7.478700 0.044720
24.910500 7.478300 0.034381
24.918699 7.478000 0.039551
24.927999 7.477600 0.034381
